comments,description,duration,event,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,tags,title,url,views
79,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,TED2006,27,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,1,1153786260,"Co-founder, Architecture for Humanity","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",My wish: A call for open-source architecture,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture",1211416
55,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,1538,TED2006,20,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,1,1153786260,Filmmaker,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",My wish: A global day of film,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film",387877
71,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",1550,TED2006,24,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,1,1153786260,"Epidemiologist, philanthropist","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",My wish: Help me stop pandemics,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics",693341
242,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",527,TED2006,27,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,1,1154391060,Human-computer interface designer,"['demo', 'design', 'interface design', 'technology']",The radical promise of the multi-touch interface,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen",4531020
99,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",1057,TED2006,25,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,1,1154391060,Tech visionary,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",One Laptop per Child,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child",358304
325,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1481,TED2006,31,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,1,1154995860,Violinist,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",An 11-year-old's magical violin,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin",2702470
305,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1445,TED2004,32,Jennifer Lin,"Jennifer Lin: Improvising on piano, aged 14",1,1154995860,"Pianist, composer","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']","Improvising on piano, aged 14","https://www.ted.com/talks/jennifer_lin_improvs_piano_magic",1628912
88,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,906,TED2006,27,Amy Smith,Amy Smith: Simple designs to save a life,1,1155600660,"inventor, engineer","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",Simple designs to save a life,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design",1415724
163,"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",1170,TED2005,22,Ross Lovegrove,"Ross Lovegrove: Organic design, inspired by nature",1,1155600660,Industrial designer,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']","Organic design, inspired by nature","https://www.ted.com/talks/ross_lovegrove_shares_organic_designs",1074081
84,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",1201,TEDGlobal 2005,32,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,1,1156119060,Founder of Wikipedia,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",The birth of Wikipedia,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia",1106561
108,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",1114,TED2006,27,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1,1156119060,Education visionary,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",The birth of the open-source learning revolution,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning",966439
185,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1136,TED2004,26,Ze Frank,Ze Frank: Nerdcore comedy,1,1156464660,"Humorist, web artist","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy",6141440
50,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",1006,TED2006,20,Mena Trott,Mena Trott: Meet the founder of the blog revolution,1,1156464660,"Blogger; cofounder, Six Apart","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution,"https://www.ted.com/talks/mena_trott_tours_her_blog_world",518624
556,"Anthropologist Helen Fisher takes on a tricky topic ‰ÛÒ love ‰ÛÒ and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",1407,TED2006,33,Helen Fisher,"Helen Fisher: Why we love, why we cheat",1,1157501460,"Anthropologist, expert on love","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']","Why we love, why we cheat","https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat",9260764
117,"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",1225,TED2004,23,Eve Ensler,Eve Ensler: Happiness in body and soul,1,1157501460,"Playwright, activist","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul",1131864
184,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",1140,TEDGlobal 2005,29,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,1,1158019860,Quantum physicist,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",Chemical scum that dream of distant quasars,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos",1096862
507,"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.",1316,TEDGlobal 2005,36,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,1,1158019860,Evolutionary biologist,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",Why the universe seems so strange,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe",2885999
95,"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.",1275,TED2004,25,Steven Levitt,Steven Levitt: The freakonomics of crack dealing,1,1158624660,Economist,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",The freakonomics of crack dealing,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics",2863214
355,"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.",1050,TED2004,37,Malcolm Gladwell,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",1,1158624660,Writer,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']","Choice, happiness and spaghetti sauce","https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce",7023562
970,"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we‰Ûªll be miserable if we don‰Ûªt get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don‰Ûªt go as planned.",1276,TED2004,43,Dan Gilbert,Dan Gilbert: The surprising science of happiness,1,1159229460,Psychologist; happiness expert,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",The surprising science of happiness,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy",14689301
991,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",1177,TEDGlobal 2005,45,Barry Schwartz,Barry Schwartz: The paradox of choice,1,1159229460,Psychologist,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",The paradox of choice,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice",10000702
213,Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer‰Ûªs.,1129,TED2005,26,Eva Vertes,Eva Vertes: Meet the future of cancer research,1,1159747860,Neuroscience and cancer researcher,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",Meet the future of cancer research,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine",1030267
612,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",1365,TEDGlobal 2005,29,Aubrey de Grey,Aubrey de Grey: A roadmap to end aging,1,1159747860,Crusader against aging,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",A roadmap to end aging,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging",3277740
74,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.",952,TEDGlobal 2005,21,Iqbal Quadir,Iqbal Quadir: How mobile phones can fight poverty,1,1160439060,"Founder, GrameenPhone","['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",How mobile phones can fight poverty,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty",503517
58,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.",773,TEDGlobal 2005,26,Jacqueline Novogratz,Jacqueline Novogratz: Invest in Africa's own solutions,1,1160439060,Investor and advocate for moral leadership,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",Invest in Africa's own solutions,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty",705389
43,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""",1080,TEDGlobal 2005,21,Sasa Vucinic,Sasa Vucinic: Why we should invest in a free press,1,1161130260,Nonprofit venture capitalist,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",Why we should invest in a free press,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press",580891
67,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.",1125,TEDGlobal 2005,24,Ashraf Ghani,Ashraf Ghani: How to rebuild a broken state,1,1161130260,President-elect of Afghanistan,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",How to rebuild a broken state,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states",809226
186,"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.",1177,TED2006,28,Burt Rutan,Burt Rutan: The real future of space exploration,1,1161735060,Aircraft engineer,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",The real future of space exploration,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space",2028451
57,"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.",1083,TED2005,26,Ben Saunders,Ben Saunders: Why did I ski to the North Pole?,1,1161735060,Arctic explorer,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",Why did I ski to the North Pole?,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole",745231
112,"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.",1672,TED2005,24,Bono,Bono: My wish: Three actions for Africa,1,1162253460,"Musician, activist","['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",My wish: Three actions for Africa,"https://www.ted.com/talks/bono_s_call_to_action_for_africa",718649
58,"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.",2065,TED2005,22,Edward Burtynsky,Edward Burtynsky: My wish: Manufactured landscapes and green education,1,1162253460,Photographer,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",My wish: Manufactured landscapes and green education,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes",975107
33,"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.",1609,TED2005,20,Robert Fischell,Robert Fischell: My wish: Three unusual medical inventions,1,1162253460,Biomedical inventor,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",My wish: Three unusual medical inventions,"https://www.ted.com/talks/robert_fischell_on_medical_inventing",382996
105,Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,1280,TEDGlobal 2005,20,Peter Donnelly,Peter Donnelly: How juries are fooled by statistics,1,1162944660,Mathematician; statistician,"['culture', 'genetics', 'science', 'statistics', 'technology']",How juries are fooled by statistics,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries",1053758
494,"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.",805,TED2006,41,Michael Shermer,Michael Shermer: Why people believe weird things,1,1162944660,Skeptic,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",Why people believe weird things,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things",5364639
233,"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.",1376,TED2005,22,Ray Kurzweil,Ray Kurzweil: The accelerating power of technology,1,1163463060,"Inventor, futurist","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",The accelerating power of technology,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us",2434344
149,"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.",1200,TED2005,26,Kevin Kelly,Kevin Kelly: How technology evolves,1,1163463060,Digital visionary,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",How technology evolves,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves",1536873
52,Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.,848,TED2006,24,Peter Gabriel,Peter Gabriel: Fight injustice with raw video,1,1165363860,"Musician, activist","['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",Fight injustice with raw video,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video",904215
578,Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,210,TED2005,66,Richard St. John,Richard St. John: 8 secrets of success,1,1166055060,"Marketer, success analyst","['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",8 secrets of success,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success",10841210
95,"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.",247,TEDSalon 2006,34,Rives,Rives: If I controlled the Internet,1,1166055060,"Performance poet, multimedia artist","['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",If I controlled the Internet,"https://www.ted.com/talks/rives_controls_the_internet",1813665
199,Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it‰Ûªs mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,198,TED2006,48,Dean Ornish,Dean Ornish: The killer American diet that's sweeping the planet,1,1166055060,"Physician, author","['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",The killer American diet that's sweeping the planet,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet",2299265
85,"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.",843,TEDGlobal 2005,22,Robert Neuwirth,Robert Neuwirth: The hidden world of shadow cities,1,1167696660,Author,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",The hidden world of shadow cities,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities",673036
499,"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.",1001,TED2005,32,Bjorn Lomborg,Bjorn Lomborg: Global priorities bigger than climate change,1,1167696660,Global prioritizer,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",Global priorities bigger than climate change,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities",1391142
371,"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.",1321,TED2003,36,Wade Davis,Wade Davis: Dreams from endangered cultures,1,1168301460,"Anthropologist, ethnobotanist","['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",Dreams from endangered cultures,"https://www.ted.com/talks/wade_davis_on_endangered_cultures",2532851
59,"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.",1115,TED2006,29,Phil Borges,Phil Borges: Photos of endangered cultures,1,1168301460,Photographer,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",Photos of endangered cultures,"https://www.ted.com/talks/phil_borges_on_endangered_cultures",882034
203,"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.",1046,TEDGlobal 2005,29,Martin Rees,Martin Rees: Is this our final century?,1,1168992660,Astrophysicist,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",Is this our final century?,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century",2121177
130,"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.",1151,TED2006,23,Robert Wright,Robert Wright: Progress is not a zero-sum game,1,1168992660,"Journalist, philosopher","['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",Progress is not a zero-sum game,"https://www.ted.com/talks/robert_wright_on_optimism",1090180
47,"Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.",603,TEDSalon 2006,29,Steven Johnson,"Steven Johnson: How the ""ghost map"" helped end a killer disease",1,1170202260,Writer,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']","How the ""ghost map"" helped end a killer disease","https://www.ted.com/talks/steven_johnson_tours_the_ghost_map",684519
91,"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.",1141,TEDGlobal 2005,24,Charles Leadbeater,Charles Leadbeater: The era of open innovation,1,1170202260,Innovation consultant,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",The era of open innovation,"https://www.ted.com/talks/charles_leadbeater_on_innovation",1409327
222,"Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee.",825,TED2005,0,Pilobolus,"Pilobolus: A dance of ""Symbiosis""",1,1170979860,Dance company,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']","A dance of ""Symbiosis""","https://www.ted.com/talks/pilobolus_perform_symbiosis",3051507
111,"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character.""",1385,TED2005,19,Anna Deavere Smith,Anna Deavere Smith: Four American characters,1,1170979860,"Actor, playwright, social critic","['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",Four American characters,"https://www.ted.com/talks/anna_deavere_smith_s_american_character",978825
28,"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads.",869,TED2006,18,Saul Griffith,Saul Griffith: Everyday inventions,1,1171843860,Inventor,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",Everyday inventions,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions",442553
64,MIT professor Neil Gershenfeld talks about his Fab Lab -- a low-cost lab that lets people build things they need using digital and analog tools. It's a simple idea with powerful results.,1038,TED2006,17,Neil Gershenfeld,Neil Gershenfeld: Unleash your creativity in a Fab Lab,1,1171843860,"Physicist, personal fab pioneer","['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",Unleash your creativity in a Fab Lab,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs",691814
